seed	k	n	survive_bf	edges_bf	survive_pad	edges_pad	
9	20	100	10	18	10	22	
9	40	0	7	7	7	7	
9	40	10	14	22	13	21	
9	40	20	15	25	13	25	
9	40	30	16	27	13	27	
9	40	40	16	28	13	28	
9	40	50	16	29	13	26	
9	40	60	17	30	13	30	
9	40	70	20	35	17	36	
9	40	80	20	35	17	40	
9	40	90	20	35	18	39	
9	40	100	20	35	18	39	
9	60	0	13	13	13	13	
9	60	10	20	30	20	28	
9	60	20	20	32	20	32	
9	60	30	24	39	23	39	
9	60	40	24	41	23	40	
9	60	50	24	42	23	45	
9	60	60	24	43	23	47	
9	60	70	24	43	23	50	
9	60	80	24	43	23	51	
9	60	90	24	43	23	52	
9	60	100	24	44	23	51	
9	80	0	12	12	12	12	
9	80	10	30	41	30	41	
9	80	20	32	46	30	44	
9	80	30	34	50	31	47	
9	80	40	36	54	34	54	
9	80	50	38	59	35	59	
9	80	60	39	61	36	62	
9	80	70	40	63	37	65	
9	80	80	40	64	37	67	
9	80	90	40	64	37	68	
9	80	100	40	64	37	70	
9	100	0	12	12	12	12	
9	100	10	27	42	27	39	
9	100	20	33	55	31	49	
9	100	30	39	65	36	57	
9	100	40	40	68	37	64	
9	100	50	40	69	38	68	
9	100	60	41	71	39	71	
9	100	70	41	73	39	74	
9	100	80	44	78	41	81	
9	100	90	44	78	41	81	
9	100	100	44	78	41	82	
10	20	0	9	9	9	9	
10	20	10	11	16	11	17	
10	20	20	11	17	11	18	
10	20	30	11	17	11	19	
10	20	40	11	18	11	19	
10	20	50	11	18	11	19	
10	20	60	11	18	11	20	
10	20	70	11	18	11	21	
10	20	80	11	18	11	22	
10	20	90	11	18	11	23	
10	20	100	11	18	11	23	
10	40	0	10	10	10	10	
10	40	10	17	25	16	26	
10	40	20	19	31	17	32	
10	40	30	20	33	18	35	
10	40	40	20	34	18	38	
10	40	50	20	35	18	39	
10	40	60	20	35	18	39	
10	40	70	20	35	18	39	
10	40	80	20	36	18	42	
10	40	90	20	36	18	42	
10	40	100	20	37	18	44	
10	60	0	11	11	11	11	
10	60	10	20	33	18	28	
10	60	20	22	38	20	33	
10	60	30	24	42	23	45	
10	60	40	24	42	23	47	
10	60	50	25	43	23	48	
10	60	60	26	46	25	53	
10	60	70	26	48	25	54	
10	60	80	26	49	26	59	
10	60	90	26	50	26	61	
10	60	100	27	53	26	65	
10	80	0	17	17	17	17	
10	80	10	23	32	21	29	
10	80	20	28	43	25	39	
10	80	30	29	46	26	45	
10	80	40	29	47	26	46	
10	80	50	31	50	29	49	
10	80	60	33	53	31	52	
10	80	70	33	53	31	54	
10	80	80	33	55	31	59	
10	80	90	35	60	33	65	
10	80	100	35	60	33	65	
10	100	0	16	16	16	16	
10	100	10	34	46	33	44	
10	100	20	37	55	35	52	
10	100	30	38	58	36	58	
10	100	40	37	62	36	63	
10	100	50	39	64	37	66	
10	100	60	40	66	38	69	
10	100	70	41	68	38	74	
10	100	80	42	69	39	75	
10	100	90	42	69	39	74	
10	100	100	43	70	40	74	
11	20	0	6	6	6	6	
11	20	10	11	16	11	18	
11	20	20	12	18	12	20	
11	20	30	13	20	12	25	
11	20	40	13	20	11	24	
11	20	50	13	20	11	25	
11	20	60	13	20	11	26	
11	20	70	13	20	11	26	
11	20	80	13	20	11	27	
11	20	90	13	20	11	28	
11	20	100	13	20	11	28	
11	40	0	10	10	10	10	
11	40	10	15	21	15	21	
11	40	20	16	24	15	25	
11	40	30	17	26	16	25	
11	40	40	18	30	18	32	
11	40	50	18	32	18	37	
