seed	BD	V	N	t_sec	n_invisible	p_invisible	
2	6	90	70	2.5605	27	0.3	
2	6	90	80	2.6235	23	0.255555555555556	
2	6	90	90	2.8713	23	0.255555555555556	
2	6	90	100	2.4891	23	0.255555555555556	
2	6	100	0	4.2744	100	1	
2	6	100	10	4.1147	76	0.76	
2	6	100	20	3.6347	65	0.65	
2	6	100	30	3.2553	53	0.53	
2	6	100	40	3.3361	48	0.48	
2	6	100	50	3.0843	44	0.44	
2	6	100	60	3.2423	47	0.47	
2	6	100	70	3.1201	43	0.43	
2	6	100	80	3.1609	42	0.42	
2	6	100	90	3.2093	39	0.39	
2	6	100	100	2.9435	31	0.31	
3	6	10	0	0.4622	10	1	
3	6	10	10	0.5312	5	0.5	
3	6	10	20	0.5836	3	0.3	
3	6	10	30	0.4544	3	0.3	
3	6	10	40	0.3922	1	0.1	
3	6	10	50	0.4426	2	0.2	
3	6	10	60	0.4942	2	0.2	
3	6	10	70	0.4998	2	0.2	
3	6	10	80	0.4244	2	0.2	
3	6	10	90	0.4096	1	0.1	
3	6	10	100	0.421	1	0.1	
3	6	20	0	0.8024	20	1	
3	6	20	10	0.7374	9	0.45	
3	6	20	20	0.7138	8	0.4	
3	6	20	30	0.6252	3	0.15	
3	6	20	40	0.624	3	0.15	
3	6	20	50	0.6246	2	0.1	
3	6	20	60	0.6308	2	0.1	
3	6	20	70	0.624	1	0.05	
3	6	20	80	0.5844	1	0.05	
3	6	20	90	0.5941	2	0.1	
3	6	20	100	0.6832	1	0.05	
3	6	30	0	1.0816	30	1	
3	6	30	10	0.9236	11	0.366666666666667	
3	6	30	20	0.753	9	0.3	
3	6	30	30	0.754	6	0.2	
3	6	30	40	0.6946	2	0.0666666666666667	
3	6	30	50	0.792	6	0.2	
3	6	30	60	0.7646	4	0.133333333333333	
3	6	30	70	0.7676	4	0.133333333333333	
3	6	30	80	0.727	2	0.0666666666666667	
3	6	30	90	0.7144	1	0.0333333333333333	
3	6	30	100	0.7344	2	0.0666666666666667	
3	6	40	0	1.445	40	1	
3	6	40	10	1.5926	28	0.7	
3	6	40	20	1.4492	23	0.575	
3	6	40	30	1.175	13	0.325	
3	6	40	40	1.2134	14	0.35	
3	6	40	50	1.1576	11	0.275	
3	6	40	60	1.1298	9	0.225	
3	6	40	70	1.2094	10	0.25	
3	6	40	80	1.1774	8	0.2	
3	6	40	90	1.2234	10	0.25	
3	6	40	100	1.1356	7	0.175	
3	6	50	0	1.739	50	1	
3	6	50	10	1.5606	34	0.68	
3	6	50	20	1.4952	26	0.52	
3	6	50	30	1.5224	23	0.46	
3	6	50	40	1.4782	20	0.4	
3	6	50	50	1.4562	16	0.32	
3	6	50	60	1.4106	13	0.26	
3	6	50	70	1.5242	16	0.32	
3	6	50	80	1.3484	11	0.22	
3	6	50	90	1.4388	12	0.24	
3	6	50	100	1.3506	13	0.26	
3	6	60	0	2.1384	60	1	
3	6	60	10	2.2558	43	0.716666666666667	
3	6	60	20	1.9201	28	0.466666666666667	
3	6	60	30	1.8104	23	0.383333333333333	
3	6	60	40	1.7445	22	0.366666666666667	
3	6	60	50	1.8735	19	0.316666666666667	
3	6	60	60	1.7388	16	0.266666666666667	
3	6	60	70	1.7125	16	0.266666666666667	
3	6	60	80	1.9806	20	0.333333333333333	
3	6	60	90	1.56	11	0.183333333333333	
3	6	60	100	1.6443	10	0.166666666666667	
3	6	70	0	2.5086	70	1	
3	6	70	10	2.3761	49	0.7	
3	6	70	20	2.1784	40	0.571428571428571	
3	6	70	30	2.1625	29	0.414285714285714	
3	6	70	40	2.2937	32	0.457142857142857	
3	6	70	50	2.079	27	0.385714285714286	
3	6	70	60	1.9881	18	0.257142857142857	
3	6	70	70	2.0215	19	0.271428571428571	
3	6	70	80	1.9471	16	0.228571428571429	
3	6	70	90	1.9035	13	0.185714285714286	
3	6	70	100	1.9341	14	0.2	
3	6	80	0	2.9823	80	1	
3	6	80	10	2.7557	52	0.65	
3	6	80	20	2.5733	45	0.5625	
3	6	80	30	2.5321	41	0.5125	
3	6	80	40	2.3877	32	0.4	
3	6	80	50	2.1269	22	0.275	
3	6	80	60	2.2861	25	0.3125	
3	6	80	70	2.3221	24	0.3	
3	6	80	80	2.3765	25	0.3125	
3	6	80	90	2.0813	17	0.2125	
3	6	80	100	2.4149	18	0.225	
3	6	90	0	3.2748	90	1	
3	6	90	10	3.1414	62	0.688888888888889	
3	6	90	20	3.2902	47	0.522222222222222	
3	6	90	30	2.9576	47	0.522222222222222	
3	6	90	40	2.6585	40	0.444444444444444	
3	6	90	50	2.8179	43	0.477777777777778	
3	6	90	60	2.6505	37	0.411111111111111	
3	6	90	70	2.6487	29	0.322222222222222	
3	6	90	80	2.787	32	0.355555555555556	
3	6	90	90	2.5627	22	0.244444444444444	
3	6	90	100	2.6982	32	0.355555555555556	
3	6	100	0	3.884	100	1	
3	6	100	10	3.9414	79	0.79	
3	6	100	20	3.1553	53	0.53	
3	6	100	30	3.1172	48	0.48	
3	6	100	40	3.162	51	0.51	
3	6	100	50	3.689	45	0.45	
3	6	100	60	2.8138	32	0.32	
3	6	100	70	2.7133	32	0.32	
3	6	100	80	3.2296	35	0.35	
3	6	100	90	3.247	42	0.42	
3	6	100	100	2.8533	32	0.32	
4	6	10	0	0.4016	10	1	
4	6	10	10	0.4802	7	0.7	
4	6	10	20	0.4684	4	0.4	
4	6	10	30	0.435	2	0.2	
4	6	10	40	0.6154	2	0.2	
4	6	10	50	0.6101	1	0.1	
4	6	10	60	0.5504	0	0	
4	6	10	70	0.468	2	0.2	
4	6	10	80	0.521	2	0.2	
4	6	10	90	0.4332	1	0.1	
4	6	10	100	0.3566	1	0.1	
4	6	20	0	0.7394	20	1	
4	6	20	10	0.7988	11	0.55	
4	6	20	20	0.745	10	0.5	
4	6	20	30	0.607	4	0.2	
4	6	20	40	0.7132	7	0.35	
4	6	20	50	0.702	5	0.25	
4	6	20	60	0.5512	2	0.1	
4	6	20	70	0.6272	2	0.1	
4	6	20	80	0.5928	3	0.15	
4	6	20	90	0.5808	2	0.1	
4	6	20	100	0.6178	3	0.15	
4	6	30	0	1.1608	30	1	
4	6	30	10	1.0338	15	0.5	
4	6	30	20	0.9724	13	0.433333333333333	
4	6	30	30	1.1714	14	0.466666666666667	
4	6	30	40	0.9402	7	0.233333333333333	
4	6	30	50	0.8622	7	0.233333333333333	
4	6	30	60	0.868	9	0.3	
4	6	30	70	0.8502	6	0.2	
4	6	30	80	0.8272	5	0.166666666666667	
4	6	30	90	0.8178	5	0.166666666666667	
4	6	30	100	0.9396	6	0.2	
4	6	40	0	1.4706	40	1	
4	6	40	10	1.2858	19	0.475	
4	6	40	20	1.3309	15	0.375	
4	6	40	30	1.1315	7	0.175	
4	6	40	40	1.1682	11	0.275	
4	6	40	50	1.3168	13	0.325	
4	6	40	60	1.1605	7	0.175	
4	6	40	70	1.1562	6	0.15	
4	6	40	80	1.0672	3	0.075	
4	6	40	90	1.1372	4	0.1	
4	6	40	100	1.1839	8	0.2	
4	6	50	0	1.7138	50	1	
4	6	50	10	1.8091	38	0.76	
4	6	50	20	1.8261	34	0.68	
4	6	50	30	1.5196	21	0.42	
4	6	50	40	1.4382	16	0.32	
4	6	50	50	1.4367	20	0.4	
4	6	50	60	1.5236	16	0.32	
4	6	50	70	1.4833	16	0.32	
4	6	50	80	1.4603	19	0.38	
4	6	50	90	1.4202	12	0.24	
4	6	50	100	1.3045	6	0.12	
4	6	60	0	2.3251	60	1	
4	6	60	10	1.8846	28	0.466666666666667	
4	6	60	20	2.0807	32	0.533333333333333	
4	6	60	30	2.2211	25	0.416666666666667	
4	6	60	40	2.4947	24	0.4	
4	6	60	50	2.7029	17	0.283333333333333	
4	6	60	60	2.0213	18	0.3	
4	6	60	70	2.0382	20	0.333333333333333	
4	6	60	80	1.7097	11	0.183333333333333	
4	6	60	90	1.8563	20	0.333333333333333	
4	6	60	100	1.7681	10	0.166666666666667	
4	6	70	0	2.6059	70	1	
4	6	70	10	2.2795	42	0.6	
4	6	70	20	2.1981	34	0.485714285714286	
4	6	70	30	2.2401	31	0.442857142857143	
4	6	70	40	2.0035	19	0.271428571428571	
4	6	70	50	2.2531	31	0.442857142857143	
4	6	70	60	2.1501	25	0.357142857142857	
4	6	70	70	1.9759	17	0.242857142857143	
4	6	70	80	2.3407	19	0.271428571428571	
4	6	70	90	2.1791	16	0.228571428571429	
4	6	70	100	2.0191	15	0.214285714285714	
4	6	80	0	3.0087	80	1	
4	6	80	10	2.5367	48	0.6	
4	6	80	20	2.5039	40	0.5	
4	6	80	30	2.3595	35	0.4375	
4	6	80	40	2.6423	40	0.5	
4	6	80	50	2.4037	25	0.3125	
4	6	80	60	2.5423	29	0.3625	
4	6	80	70	2.4351	27	0.3375	
4	6	80	80	2.3947	27	0.3375	
4	6	80	90	2.3767	24	0.3	
4	6	80	100	2.0815	18	0.225	
4	6	90	0	3.4503	90	1	
4	6	90	10	3.0706	64	0.711111111111111	
4	6	90	20	2.9105	44	0.488888888888889	
4	6	90	30	3.1099	40	0.444444444444444	
4	6	90	40	2.9211	47	0.522222222222222	
4	6	90	50	2.6311	40	0.444444444444444	
4	6	90	60	2.5505	28	0.311111111111111	
4	6	90	70	2.6251	35	0.388888888888889	
4	6	90	80	2.6691	33	0.366666666666667	
4	6	90	90	2.7323	30	0.333333333333333	
4	6	90	100	2.8349	32	0.355555555555556	
4	6	100	0	3.6432	100	1	
4	6	100	10	3.4927	73	0.73	
4	6	100	20	3.1759	59	0.59	
4	6	100	30	3.1799	55	0.55	
4	6	100	40	3.1267	53	0.53	
4	6	100	50	3.0707	43	0.43	
4	6	100	60	2.7442	35	0.35	
4	6	100	70	2.8171	42	0.42	
4	6	100	80	2.8335	34	0.34	
4	6	100	90	2.6863	33	0.33	
4	6	100	100	2.7052	31	0.31	
5	6	10	0	0.4184	10	1	
5	6	10	10	0.404	5	0.5	
5	6	10	20	0.3588	5	0.5	
5	6	10	30	0.3684	3	0.3	
5	6	10	40	0.3684	2	0.2	
5	6	10	50	0.3744	2	0.2	
5	6	10	60	0.3784	2	0.2	
5	6	10	70	0.4078	2	0.2	
5	6	10	80	0.4378	1	0.1	
5	6	10	90	0.433	1	0.1	
5	6	10	100	0.4322	1	0.1	
5	6	20	0	0.766	20	1	
5	6	20	10	0.7782	11	0.55	
5	6	20	20	0.6242	6	0.3	
5	6	20	30	0.5626	3	0.15	
5	6	20	40	0.6756	7	0.35	
5	6	20	50	0.6854	6	0.3	
5	6	20	60	0.6936	4	0.2	
5	6	20	70	0.8609	4	0.2	
5	6	20	80	0.9791	4	0.2	
5	6	20	90	1.0471	2	0.1	
5	6	20	100	0.8131	3	0.15	
5	6	30	0	1.1811	30	1	
5	6	30	10	0.9481	12	0.4	
5	6	30	20	1.0971	9	0.3	
5	6	30	30	0.9239	8	0.266666666666667	
5	6	30	40	0.809	7	0.233333333333333	
5	6	30	50	0.8912	7	0.233333333333333	
5	6	30	60	0.7226	5	0.166666666666667	
5	6	30	70	0.7596	5	0.166666666666667	
