seed	BD	V	N	t_sec	n_invisible	p_invisible	
2	6	100	20	3.6175	65	0.65	
2	6	100	30	3.2459	53	0.53	
2	6	100	40	3.3095	48	0.48	
2	6	100	50	3.2269	44	0.44	
2	6	100	60	3.1573	47	0.47	
2	6	100	70	3.1153	43	0.43	
2	6	100	80	3.5873	42	0.42	
2	6	100	90	3.7832	39	0.39	
2	6	100	100	3.3029	31	0.31	
3	6	10	0	0.4296	10	1	
3	6	10	10	0.487	5	0.5	
3	6	10	20	0.468	3	0.3	
3	6	10	30	0.5304	3	0.3	
3	6	10	40	0.39	1	0.1	
3	6	10	50	0.4368	2	0.2	
3	6	10	60	0.4524	2	0.2	
3	6	10	70	0.468	2	0.2	
3	6	10	80	0.4212	2	0.2	
3	6	10	90	0.4212	1	0.1	
3	6	10	100	0.5148	1	0.1	
3	6	20	0	0.78	20	1	
3	6	20	10	0.7488	9	0.45	
3	6	20	20	0.6982	8	0.4	
3	6	20	30	0.6562	3	0.15	
3	6	20	40	0.6864	3	0.15	
3	6	20	50	0.5928	2	0.1	
3	6	20	60	0.6708	2	0.1	
3	6	20	70	0.6084	1	0.05	
3	6	20	80	0.6084	1	0.05	
3	6	20	90	0.6396	2	0.1	
3	6	20	100	0.6378	1	0.05	
3	6	30	0	1.1086	30	1	
3	6	30	10	0.8454	11	0.366666666666667	
3	6	30	20	0.8122	9	0.3	
3	6	30	30	0.8112	6	0.2	
3	6	30	40	0.6864	2	0.0666666666666667	
3	6	30	50	0.7636	6	0.2	
3	6	30	60	0.7488	4	0.133333333333333	
3	6	30	70	0.7654	4	0.133333333333333	
3	6	30	80	0.7176	2	0.0666666666666667	
3	6	30	90	0.702	1	0.0333333333333333	
3	6	30	100	0.7176	2	0.0666666666666667	
3	6	40	0	1.4183	40	1	
3	6	40	10	1.5537	28	0.7	
3	6	40	20	1.5913	23	0.575	
3	6	40	30	1.4664	13	0.325	
3	6	40	40	1.2493	14	0.35	
3	6	40	50	1.3104	11	0.275	
3	6	40	60	1.1388	9	0.225	
3	6	40	70	1.1388	10	0.25	
3	6	40	80	1.1567	8	0.2	
3	6	40	90	1.1388	10	0.25	
3	6	40	100	1.1076	7	0.175	
3	6	50	0	1.6859	50	1	
3	6	50	10	1.6579	34	0.68	
3	6	50	20	1.5444	26	0.52	
3	6	50	30	1.5288	23	0.46	
3	6	50	40	1.6035	20	0.4	
3	6	50	50	1.6381	16	0.32	
3	6	50	60	1.3884	13	0.26	
3	6	50	70	1.4375	16	0.32	
3	6	50	80	1.2948	11	0.22	
3	6	50	90	1.405	12	0.24	
3	6	50	100	1.326	13	0.26	
3	6	60	0	2.2281	60	1	
3	6	60	10	2.0437	43	0.716666666666667	
3	6	60	20	1.8587	28	0.466666666666667	
3	6	60	30	1.8409	23	0.383333333333333	
3	6	60	40	1.7493	22	0.366666666666667	
3	6	60	50	1.7601	19	0.316666666666667	
3	6	60	60	1.7639	16	0.266666666666667	
3	6	60	70	1.8293	16	0.266666666666667	
3	6	60	80	1.7913	20	0.333333333333333	
3	6	60	90	1.6803	11	0.183333333333333	
3	6	60	100	1.7795	10	0.166666666666667	
3	6	70	0	2.5029	70	1	
3	6	70	10	2.4025	49	0.7	
3	6	70	20	2.2925	40	0.571428571428571	
3	6	70	30	2.2339	29	0.414285714285714	
3	6	70	40	2.3207	32	0.457142857142857	
3	6	70	50	2.3401	27	0.385714285714286	
3	6	70	60	1.9175	18	0.257142857142857	
3	6	70	70	1.8877	19	0.271428571428571	
3	6	70	80	1.9667	16	0.228571428571429	
3	6	70	90	1.8089	13	0.185714285714286	
3	6	70	100	1.8877	14	0.2	
3	6	80	0	3.0675	80	1	
3	6	80	10	2.6989	52	0.65	
3	6	80	20	2.6075	45	0.5625	
3	6	80	30	2.8127	41	0.5125	
3	6	80	40	2.4243	32	0.4	
3	6	80	50	2.0612	22	0.275	
3	6	80	60	2.4173	25	0.3125	
3	6	80	70	2.4024	24	0.3	
3	6	80	80	2.2613	25	0.3125	
3	6	80	90	2.0436	17	0.2125	
3	6	80	100	2.2145	18	0.225	
3	6	90	0	3.3343	90	1	
3	6	90	10	3.2487	62	0.688888888888889	
3	6	90	20	2.8355	47	0.522222222222222	
3	6	90	30	2.8413	47	0.522222222222222	
3	6	90	40	2.7877	40	0.444444444444444	
3	6	90	50	2.8063	43	0.477777777777778	
3	6	90	60	2.7925	37	0.411111111111111	
3	6	90	70	2.7781	29	0.322222222222222	
3	6	90	80	2.9047	32	0.355555555555556	
3	6	90	90	2.5995	22	0.244444444444444	
3	6	90	100	2.6989	32	0.355555555555556	
3	6	100	0	3.9651	100	1	
3	6	100	10	3.9159	79	0.79	
3	6	100	20	3.1485	53	0.53	
3	6	100	30	3.3073	48	0.48	
3	6	100	40	3.2315	51	0.51	
3	6	100	50	3.0891	45	0.45	
3	6	100	60	2.8081	32	0.32	
3	6	100	70	2.8063	32	0.32	
3	6	100	80	3.0013	35	0.35	
3	6	100	90	3.0363	42	0.42	
3	6	100	100	2.7935	32	0.32	
4	6	10	0	0.4066	10	1	
4	6	10	10	0.5158	7	0.7	
4	6	10	20	0.4212	4	0.4	
4	6	10	30	0.3588	2	0.2	
4	6	10	40	0.4056	2	0.2	
4	6	10	50	0.3744	1	0.1	
4	6	10	60	0.3744	0	0	
4	6	10	70	0.4368	2	0.2	
4	6	10	80	0.39	2	0.2	
4	6	10	90	0.39	1	0.1	
4	6	10	100	0.3574	1	0.1	
4	6	20	0	0.7956	20	1	
4	6	20	10	0.78	11	0.55	
4	6	20	20	0.7978	10	0.5	
4	6	20	30	0.5772	4	0.2	
4	6	20	40	0.8268	7	0.35	
4	6	20	50	0.702	5	0.25	
4	6	20	60	0.5928	2	0.1	
4	6	20	70	0.624	2	0.1	
4	6	20	80	0.5928	3	0.15	
4	6	20	90	0.586	2	0.1	
4	6	20	100	0.6542	3	0.15	
4	6	30	0	1.0795	30	1	
4	6	30	10	0.9828	15	0.5	
4	6	30	20	0.9516	13	0.433333333333333	
4	6	30	30	0.973	14	0.466666666666667	
4	6	30	40	0.8736	7	0.233333333333333	
4	6	30	50	0.8278	7	0.233333333333333	
4	6	30	60	0.8892	9	0.3	
4	6	30	70	0.8112	6	0.2	
4	6	30	80	0.7956	5	0.166666666666667	
4	6	30	90	0.8904	5	0.166666666666667	
4	6	30	100	0.8902	6	0.2	
4	6	40	0	1.6068	40	1	
4	6	40	10	1.3416	19	0.475	
4	6	40	20	1.4354	15	0.375	
4	6	40	30	1.1388	7	0.175	
4	6	40	40	1.1554	11	0.275	
4	6	40	50	1.2636	13	0.325	
4	6	40	60	1.0776	7	0.175	
4	6	40	70	1.0724	6	0.15	
4	6	40	80	1.0296	3	0.075	
4	6	40	90	1.0472	4	0.1	
4	6	40	100	1.2032	8	0.2	
4	6	50	0	1.7346	50	1	
4	6	50	10	1.7784	38	0.76	
4	6	50	20	1.8732	34	0.68	
4	6	50	30	1.5756	21	0.42	
4	6	50	40	1.4196	16	0.32	
4	6	50	50	1.5134	20	0.4	
4	6	50	60	1.482	16	0.32	
4	6	50	70	1.482	16	0.32	
4	6	50	80	1.4228	19	0.38	
4	6	50	90	1.328	12	0.24	
4	6	50	100	1.2344	6	0.12	
4	6	60	0	2.3071	60	1	
4	6	60	10	1.7668	28	0.466666666666667	
4	6	60	20	2.0701	32	0.533333333333333	
4	6	60	30	1.7784	25	0.416666666666667	
4	6	60	40	1.8886	24	0.4	
4	6	60	50	1.6986	17	0.283333333333333	
4	6	60	60	1.8272	18	0.3	
4	6	60	70	1.872	20	0.333333333333333	
4	6	60	80	1.6996	11	0.183333333333333	
4	6	60	90	1.794	20	0.333333333333333	
4	6	60	100	1.5766	10	0.166666666666667	
4	6	70	0	2.6739	70	1	
4	6	70	10	2.262	42	0.6	
4	6	70	20	2.3539	34	0.485714285714286	
4	6	70	30	2.263	31	0.442857142857143	
4	6	70	40	1.8286	19	0.271428571428571	
4	6	70	50	2.2427	31	0.442857142857143	
4	6	70	60	2.0134	25	0.357142857142857	
4	6	70	70	2.0409	17	0.242857142857143	
4	6	70	80	1.9344	19	0.271428571428571	
4	6	70	90	1.9371	16	0.228571428571429	
