seed	vertices	directions	virtual_terminals	
21	20	L5	18	
21	30	L2	25	
21	30	L3	28	
21	30	L4	28	
21	30	L5	30	
21	40	L2	32	
21	40	L3	34	
21	40	L4	38	
21	40	L5	38	
21	50	L2	41	
21	50	L3	42	
21	50	L4	42	
21	50	L5	45	
21	60	L2	55	
21	60	L3	55	
21	60	L4	56	
21	60	L5	56	
21	70	L2	62	
21	70	L3	62	
21	70	L4	66	
21	70	L5	67	
21	80	L2	70	
21	80	L3	74	
21	80	L4	72	
21	80	L5	75	
21	90	L2	79	
21	90	L3	82	
21	90	L4	86	
21	90	L5	86	
21	100	L2	84	
21	100	L3	88	
21	100	L4	91	
21	100	L5	90	
22	10	L2	9	
22	10	L3	9	
22	10	L4	10	
22	10	L5	10	
22	20	L2	19	
22	20	L3	19	
22	20	L4	19	
22	20	L5	19	
22	30	L2	26	
22	30	L3	28	
22	30	L4	29	
22	30	L5	29	
22	40	L2	30	
22	40	L3	32	
22	40	L4	31	
22	40	L5	31	
22	50	L2	41	
22	50	L3	46	
22	50	L4	47	
22	50	L5	48	
22	60	L2	50	
22	60	L3	50	
22	60	L4	55	
22	60	L5	53	
22	70	L2	59	
22	70	L3	62	
22	70	L4	64	
22	70	L5	64	
22	80	L2	67	
22	80	L3	67	
22	80	L4	70	
22	80	L5	73	
22	90	L2	77	
22	90	L3	80	
22	90	L4	83	
22	90	L5	85	
22	100	L2	85	
22	100	L3	90	
22	100	L4	90	
22	100	L5	93	
23	10	L2	8	
23	10	L3	9	
23	10	L4	8	
23	10	L5	9	
23	20	L2	18	
23	20	L3	18	
23	20	L4	19	
23	20	L5	18	
23	30	L2	25	
23	30	L3	26	
23	30	L4	28	
23	30	L5	28	
23	40	L2	36	
23	40	L3	36	
23	40	L4	38	
23	40	L5	38	
23	50	L2	38	
23	50	L3	42	
23	50	L4	43	
23	50	L5	45	
23	60	L2	44	
23	60	L3	52	
23	60	L4	48	
23	60	L5	48	
23	70	L2	61	
23	70	L3	62	
23	70	L4	64	
23	70	L5	63	
23	80	L2	67	
23	80	L3	70	
23	80	L4	72	
23	80	L5	74	
23	90	L2	76	
23	90	L3	82	
23	90	L4	84	
23	90	L5	83	
23	100	L2	87	
23	100	L3	86	
23	100	L4	88	
23	100	L5	87	
24	10	L2	9	
24	10	L3	9	
24	10	L4	10	
24	10	L5	10	
24	20	L2	17	
24	20	L3	18	
24	20	L4	19	
24	20	L5	19	
24	30	L2	27	
24	30	L3	27	
24	30	L4	27	
24	30	L5	28	
24	40	L2	35	
24	40	L3	35	
24	40	L4	36	
24	40	L5	36	
24	50	L2	45	
24	50	L3	45	
24	50	L4	48	
24	50	L5	47	
24	60	L2	51	
24	60	L3	55	
24	60	L4	54	
24	60	L5	55	
24	70	L2	60	
24	70	L3	64	
24	70	L4	66	
24	70	L5	63	
24	80	L2	65	
24	80	L3	69	
24	80	L4	72	
24	80	L5	72	
24	90	L2	75	
24	90	L3	74	
24	90	L4	78	
24	90	L5	81	
24	100	L2	83	
24	100	L3	82	
24	100	L4	87	
24	100	L5	91	
25	10	L2	8	
25	10	L3	9	
25	10	L4	9	
25	10	L5	10	
25	20	L2	18	
25	20	L3	17	
25	20	L4	19	
25	20	L5	19	
25	30	L2	24	
25	30	L3	25	
25	30	L4	26	
25	30	L5	26	
25	40	L2	33	
25	40	L3	34	
25	40	L4	34	
25	40	L5	36	
25	50	L2	41	
25	50	L3	43	
25	50	L4	45	
25	50	L5	46	
25	60	L2	50	
25	60	L3	49	
25	60	L4	52	
25	60	L5	49	
25	70	L2	56	
25	70	L3	62	
25	70	L4	63	
25	70	L5	64	
25	80	L2	66	
25	80	L3	70	
25	80	L4	69	
25	80	L5	72	
25	90	L2	77	
25	90	L3	80	
25	90	L4	80	
25	90	L5	83	
25	100	L2	86	
25	100	L3	89	
25	100	L4	90	
25	100	L5	93	
26	10	L2	6	
26	10	L3	7	
26	10	L4	8	
26	10	L5	7	
26	20	L2	16	
26	20	L3	17	
26	20	L4	18	
26	20	L5	19	
26	30	L2	26	
26	30	L3	27	
26	30	L4	28	
26	30	L5	29	
26	40	L2	35	
26	40	L3	37	
26	40	L4	38	
26	40	L5	39	
26	50	L2	41	
26	50	L3	43	
26	50	L4	46	
26	50	L5	47	
26	60	L2	52	
26	60	L3	53	
26	60	L4	53	
26	60	L5	54	
26	70	L2	59	
26	70	L3	62	
