seed	k	n	survive_bf	edges_bf	survive_pad	edges_pad	
2	60	36	23	37	20	35	
2	60	48	24	39	20	36	
2	60	60	24	40	20	38	
2	60	72	24	40	20	40	
2	60	84	24	40	22	43	
2	60	96	24	40	22	46	
2	60	108	24	40	22	47	
2	60	120	25	42	22	50	
2	70	0	8	8	8	8	
2	70	14	21	34	19	32	
2	70	28	25	39	21	36	
2	70	42	25	42	25	44	
2	70	56	25	43	25	45	
2	70	70	26	45	25	49	
2	70	84	26	46	25	51	
2	70	98	26	46	25	53	
2	70	112	30	53	27	59	
2	70	126	30	54	27	61	
2	70	140	30	54	28	61	
2	80	0	11	11	11	11	
2	80	16	29	48	29	47	
2	80	32	31	55	31	57	
2	80	48	31	56	31	61	
2	80	64	33	59	33	65	
2	80	80	33	59	33	68	
2	80	96	35	65	35	73	
2	80	112	35	65	35	75	
2	80	128	35	65	35	78	
2	80	144	35	67	35	83	
2	80	160	35	67	35	84	
2	90	0	10	10	10	10	
2	90	18	31	44	30	44	
2	90	36	41	58	36	54	
2	90	54	43	61	37	60	
2	90	72	43	61	39	64	
2	90	90	43	62	40	67	
2	90	108	43	63	40	68	
2	90	126	43	64	40	71	
2	90	144	44	66	41	70	
2	90	162	44	66	41	72	
2	90	180	45	70	41	77	
2	100	0	14	14	14	14	
2	100	20	29	40	28	39	
2	100	40	32	50	30	47	
2	100	60	34	55	31	53	
2	100	80	38	63	33	60	
2	100	100	38	64	33	63	
2	100	120	41	67	33	64	
2	100	140	41	67	34	65	
2	100	160	41	69	34	66	
2	100	180	41	69	34	67	
2	100	200	41	71	34	69	
3	10	0	8	8	8	8	
3	10	2	8	9	8	10	
3	10	4	8	9	8	10	
3	10	6	8	10	8	12	
3	10	8	8	10	8	12	
3	10	10	8	10	8	12	
3	10	12	8	10	8	13	
3	10	14	8	10	8	14	
3	10	16	8	10	8	14	
3	10	18	8	10	8	15	
3	10	20	8	10	8	14	
3	20	0	10	10	10	10	
3	20	4	12	16	12	17	
3	20	8	12	18	12	19	
3	20	12	12	18	12	23	
3	20	16	12	18	12	22	
3	20	20	12	18	12	22	
3	20	24	12	18	12	22	
3	20	28	12	18	12	22	
3	20	32	12	18	12	22	
3	20	36	13	19	13	23	
3	20	40	13	19	13	24	
3	30	0	11	11	11	11	
3	30	6	11	17	11	17	
3	30	12	13	21	12	22	
3	30	18	13	24	12	26	
3	30	24	13	25	12	29	
3	30	30	13	25	12	30	
3	30	36	13	25	12	30	
3	30	42	13	25	12	31	
3	30	48	13	25	12	33	
3	30	54	13	26	12	34	
3	30	60	13	26	12	34	
3	40	0	9	9	9	9	
3	40	8	16	24	16	24	
3	40	16	19	33	19	33	
3	40	24	19	33	19	35	
3	40	32	19	33	19	38	
3	40	40	20	35	20	39	
3	40	48	20	37	20	44	
3	40	56	20	37	20	45	
3	40	64	21	38	21	45	
3	40	72	21	38	21	45	
3	40	80	22	39	21	46	
3	50	0	10	10	10	10	
3	50	10	21	32	20	31	
3	50	20	22	35	21	37	
3	50	30	23	36	22	41	
3	50	40	24	38	22	42	
3	50	50	25	40	22	45	
3	50	60	25	41	23	48	
3	50	70	25	41	24	53	
3	50	80	25	41	24	52	
3	50	90	25	41	24	53	
3	50	100	25	42	24	57	
3	60	0	12	12	12	12	
3	60	12	17	28	16	26	
3	60	24	21	34	19	33	
3	60	36	24	40	20	36	
3	60	48	25	43	21	37	
3	60	60	25	45	21	42	
3	60	72	26	47	22	45	
3	60	84	28	50	24	47	
3	60	96	28	50	24	47	
3	60	108	28	50	24	47	
3	60	120	28	51	25	53	
3	70	0	11	11	11	11	
3	70	14	19	28	17	23	
3	70	28	25	38	21	33	
3	70	42	30	48	24	41	
3	70	56	33	53	26	46	
3	70	70	33	54	27	51	
3	70	84	34	56	29	55	
3	70	98	34	56	29	57	
3	70	112	34	57	29	59	
3	70	126	34	58	29	60	
3	70	140	36	60	29	57	
3	80	0	15	15	15	15	
3	80	16	28	38	27	37	
3	80	32	29	43	28	44	
3	80	48	31	51	30	53	
3	80	64	33	55	30	58	
3	80	80	33	56	30	59	
3	80	96	34	59	32	64	
3	80	112	34	60	32	68	
3	80	128	34	61	32	72	
3	80	144	34	63	32	72	
3	80	160	34	63	32	75	
3	90	0	15	15	15	15	
3	90	18	32	46	28	39	
3	90	36	36	54	33	46	
3	90	54	37	57	34	51	
3	90	72	38	60	35	56	
3	90	90	40	62	34	57	
3	90	108	41	64	36	60	
3	90	126	41	65	36	64	
3	90	144	42	67	37	67	
3	90	162	43	70	38	70	
3	90	180	43	70	39	73	
3	100	0	12	12	12	12	
3	100	20	32	44	29	42	
3	100	40	41	58	35	53	
3	100	60	41	59	35	56	
3	100	80	43	63	35	58	
