seed	vertices	directions	virtual_terminals	
3	100	L2_90	75	
4	10	L2_10	8	
4	10	L2_20	9	
4	10	L2_30	9	
4	10	L2_40	9	
4	10	L2_50	9	
4	10	L2_60	9	
4	10	L2_70	9	
4	10	L2_80	9	
4	10	L2_90	9	
4	20	L2_10	17	
4	20	L2_20	17	
4	20	L2_30	19	
4	20	L2_40	18	
4	20	L2_50	18	
4	20	L2_60	18	
4	20	L2_70	19	
4	20	L2_80	19	
4	20	L2_90	18	
4	30	L2_10	26	
4	30	L2_20	26	
4	30	L2_30	26	
4	30	L2_40	26	
4	30	L2_50	26	
4	30	L2_60	26	
4	30	L2_70	26	
4	30	L2_80	25	
4	30	L2_90	24	
4	40	L2_10	37	
4	40	L2_20	37	
4	40	L2_30	38	
4	40	L2_40	38	
4	40	L2_50	38	
4	40	L2_60	38	
4	40	L2_70	38	
4	40	L2_80	37	
4	40	L2_90	35	
4	50	L2_10	36	
4	50	L2_20	41	
4	50	L2_30	39	
4	50	L2_40	37	
4	50	L2_50	37	
4	50	L2_60	37	
4	50	L2_70	37	
4	50	L2_80	37	
4	50	L2_90	37	
4	60	L2_10	47	
4	60	L2_20	48	
4	60	L2_30	51	
4	60	L2_40	51	
4	60	L2_50	51	
4	60	L2_60	50	
4	60	L2_70	48	
4	60	L2_80	48	
4	60	L2_90	46	
4	70	L2_10	58	
4	70	L2_20	59	
4	70	L2_30	61	
4	70	L2_40	62	
4	70	L2_50	64	
4	70	L2_60	61	
4	70	L2_70	60	
4	70	L2_80	58	
4	70	L2_90	56	
4	80	L2_10	69	
4	80	L2_20	71	
4	80	L2_30	73	
4	80	L2_40	73	
4	80	L2_50	75	
4	80	L2_60	76	
4	80	L2_70	73	
4	80	L2_80	70	
4	80	L2_90	68	
4	90	L2_10	76	
4	90	L2_20	77	
4	90	L2_30	80	
4	90	L2_40	83	
4	90	L2_50	83	
4	90	L2_60	82	
4	90	L2_70	81	
4	90	L2_80	81	
4	90	L2_90	79	
4	100	L2_10	74	
4	100	L2_20	79	
4	100	L2_30	81	
4	100	L2_40	83	
4	100	L2_50	87	
4	100	L2_60	86	
4	100	L2_70	83	
4	100	L2_80	81	
4	100	L2_90	77	
5	10	L2_10	9	
5	10	L2_20	10	
5	10	L2_30	10	
5	10	L2_40	10	
5	10	L2_50	10	
5	10	L2_60	10	
5	10	L2_70	10	
5	10	L2_80	10	
5	10	L2_90	9	
5	20	L2_10	14	
5	20	L2_20	16	
5	20	L2_30	18	
5	20	L2_40	18	
5	20	L2_50	17	
5	20	L2_60	17	
5	20	L2_70	18	
5	20	L2_80	18	
5	20	L2_90	17	
5	30	L2_10	25	
5	30	L2_20	26	
5	30	L2_30	25	
5	30	L2_40	26	
5	30	L2_50	25	
5	30	L2_60	26	
5	30	L2_70	25	
5	30	L2_80	24	
5	30	L2_90	23	
5	40	L2_10	34	
5	40	L2_20	35	
5	40	L2_30	36	
5	40	L2_40	36	
5	40	L2_50	37	
5	40	L2_60	36	
5	40	L2_70	35	
5	40	L2_80	34	
5	40	L2_90	32	
5	50	L2_10	40	
5	50	L2_20	42	
5	50	L2_30	41	
5	50	L2_40	41	
5	50	L2_50	42	
5	50	L2_60	40	
5	50	L2_70	40	
5	50	L2_80	39	
5	50	L2_90	37	
5	60	L2_10	45	
5	60	L2_20	47	
5	60	L2_30	51	
5	60	L2_40	52	
5	60	L2_50	54	
5	60	L2_60	52	
5	60	L2_70	49	
5	60	L2_80	49	
5	60	L2_90	44	
5	70	L2_10	59	
5	70	L2_20	60	
5	70	L2_30	62	
5	70	L2_40	63	
5	70	L2_50	63	
5	70	L2_60	64	
5	70	L2_70	63	
5	70	L2_80	62	
5	70	L2_90	60	
5	80	L2_10	67	
5	80	L2_20	69	
5	80	L2_30	70	
5	80	L2_40	71	
5	80	L2_50	73	
5	80	L2_60	72	
5	80	L2_70	71	
5	80	L2_80	69	
5	80	L2_90	65	
5	90	L2_10	78	
5	90	L2_20	81	
5	90	L2_30	82	
5	90	L2_40	81	
5	90	L2_50	82	
5	90	L2_60	79	
5	90	L2_70	78	
5	90	L2_80	78	
5	90	L2_90	74	
5	100	L2_10	79	
5	100	L2_20	82	
5	100	L2_30	83	
5	100	L2_40	86	
5	100	L2_50	83	
5	100	L2_60	81	
5	100	L2_70	79	
5	100	L2_80	80	
5	100	L2_90	78	
6	10	L2_10	9	
6	10	L2_20	9	
6	10	L2_30	9	
6	10	L2_40	9	
6	10	L2_50	9	
6	10	L2_60	9	
6	10	L2_70	9	
6	10	L2_80	10	
6	10	L2_90	9	
6	20	L2_10	14	
6	20	L2_20	17	
6	20	L2_30	17	
6	20	L2_40	17	
6	20	L2_50	17	
6	20	L2_60	17	
6	20	L2_70	15	
6	20	L2_80	15	
6	20	L2_90	15	
6	30	L2_10	26	
6	30	L2_20	26	
6	30	L2_30	26	
6	30	L2_40	26	
6	30	L2_50	27	
6	30	L2_60	28	
6	30	L2_70	27	
6	30	L2_80	26	
6	30	L2_90	26	
6	40	L2_10	34	
6	40	L2_20	33	
6	40	L2_30	35	
6	40	L2_40	36	
6	40	L2_50	35	
6	40	L2_60	34	
6	40	L2_70	34	
6	40	L2_80	34	
6	40	L2_90	32	
6	50	L2_10	43	
6	50	L2_20	42	
6	50	L2_30	43	
6	50	L2_40	43	
6	50	L2_50	42	
6	50	L2_60	43	
6	50	L2_70	42	
6	50	L2_80	43	
6	50	L2_90	42	
6	60	L2_10	44	
6	60	L2_20	46	
6	60	L2_30	49	
6	60	L2_40	51	
6	60	L2_50	50	
6	60	L2_60	49	
6	60	L2_70	50	
6	60	L2_80	48	
6	60	L2_90	44	
6	70	L2_10	55	
6	70	L2_20	62	
6	70	L2_30	57	
6	70	L2_40	57	
6	70	L2_50	58	
6	70	L2_60	57	
6	70	L2_70	57	
6	70	L2_80	56	
6	70	L2_90	54	
6	80	L2_10	68	
6	80	L2_20	71	
6	80	L2_30	71	
6	80	L2_40	73	
6	80	L2_50	74	
6	80	L2_60	73	
6	80	L2_70	69	
6	80	L2_80	68	
6	80	L2_90	66	
6	90	L2_10	72	
6	90	L2_20	76	
6	90	L2_30	79	
6	90	L2_40	80	
6	90	L2_50	80	
6	90	L2_60	81	
6	90	L2_70	78	
6	90	L2_80	77	
6	90	L2_90	76	
6	100	L2_10	83	
6	100	L2_20	88	
6	100	L2_30	90	
6	100	L2_40	87	
6	100	L2_50	85	
6	100	L2_60	84	
6	100	L2_70	81	
6	100	L2_80	80	
6	100	L2_90	77	
7	10	L2_10	8	
7	10	L2_20	9	
7	10	L2_30	9	
7	10	L2_40	9	
7	10	L2_50	9	
7	10	L2_60	8	
7	10	L2_70	9	
7	10	L2_80	8	
7	10	L2_90	8	
7	20	L2_10	15	
7	20	L2_20	16	
7	20	L2_30	17	
7	20	L2_40	17	
7	20	L2_50	17	
7	20	L2_60	16	
7	20	L2_70	15	
7	20	L2_80	14	
7	20	L2_90	14	
7	30	L2_10	26	
7	30	L2_20	26	
7	30	L2_30	27	
7	30	L2_40	28	
7	30	L2_50	26	
7	30	L2_60	25	
7	30	L2_70	25	
7	30	L2_80	25	
7	30	L2_90	24	
7	40	L2_10	28	
7	40	L2_20	30	
7	40	L2_30	32	
7	40	L2_40	34	
7	40	L2_50	34	
7	40	L2_60	32	
7	40	L2_70	34	
7	40	L2_80	32	
7	40	L2_90	29	
7	50	L2_10	39	
7	50	L2_20	43	
7	50	L2_30	42	
7	50	L2_40	39	
7	50	L2_50	40	
7	50	L2_60	41	
7	50	L2_70	40	
7	50	L2_80	38	
7	50	L2_90	37	
7	60	L2_10	43	
7	60	L2_20	46	
7	60	L2_30	49	
7	60	L2_40	53	
7	60	L2_50	54	
7	60	L2_60	52	
7	60	L2_70	51	
7	60	L2_80	51	
7	60	L2_90	50	
7	70	L2_10	58	
7	70	L2_20	59	
7	70	L2_30	60	
7	70	L2_40	64	
7	70	L2_50	61	
7	70	L2_60	63	
7	70	L2_70	61	
7	70	L2_80	57	
7	70	L2_90	57	
7	80	L2_10	65	
7	80	L2_20	67	
7	80	L2_30	67	
7	80	L2_40	70	
7	80	L2_50	69	
7	80	L2_60	68	
7	80	L2_70	69	
7	80	L2_80	65	
7	80	L2_90	65	
7	90	L2_10	74	
7	90	L2_20	76	
7	90	L2_30	78	
7	90	L2_40	78	
7	90	L2_50	78	
7	90	L2_60	76	
7	90	L2_70	77	
7	90	L2_80	75	
7	90	L2_90	74	
7	100	L2_10	85	
7	100	L2_20	88	
7	100	L2_30	90	
7	100	L2_40	91	
7	100	L2_50	89	
7	100	L2_60	85	
7	100	L2_70	84	
7	100	L2_80	82	
7	100	L2_90	82	
8	10	L2_10	9	
8	10	L2_20	8	
8	10	L2_30	8	
8	10	L2_40	8	
8	10	L2_50	9	
8	10	L2_60	8	
8	10	L2_70	8	
8	10	L2_80	8	
8	10	L2_90	8	
8	20	L2_10	18	
8	20	L2_20	18	
8	20	L2_30	19	
8	20	L2_40	18	
8	20	L2_50	17	
8	20	L2_60	16	
8	20	L2_70	16	
8	20	L2_80	17	
8	20	L2_90	17	
8	30	L2_10	25	
8	30	L2_20	25	
8	30	L2_30	26	
8	30	L2_40	26	
8	30	L2_50	27	
8	30	L2_60	27	
8	30	L2_70	25	
8	30	L2_80	26	
8	30	L2_90	26	
8	40	L2_10	32	
8	40	L2_20	33	
8	40	L2_30	34	
8	40	L2_40	34	
8	40	L2_50	33	
8	40	L2_60	31	
8	40	L2_70	34	
8	40	L2_80	33	
8	40	L2_90	32	
8	50	L2_10	42	
8	50	L2_20	43	
8	50	L2_30	43	
8	50	L2_40	43	
8	50	L2_50	43	
8	50	L2_60	42	
8	50	L2_70	41	
8	50	L2_80	41	
8	50	L2_90	40	
8	60	L2_10	46	
8	60	L2_20	46	
8	60	L2_30	50	
8	60	L2_40	52	
8	60	L2_50	49	
8	60	L2_60	50	
8	60	L2_70	48	
8	60	L2_80	46	
8	60	L2_90	45	
8	70	L2_10	53	
8	70	L2_20	54	
8	70	L2_30	55	
8	70	L2_40	59	
8	70	L2_50	61	
8	70	L2_60	62	
8	70	L2_70	59	
8	70	L2_80	56	
8	70	L2_90	55	
8	80	L2_10	67	
8	80	L2_20	72	
8	80	L2_30	72	
8	80	L2_40	73	
8	80	L2_50	71	
8	80	L2_60	70	
8	80	L2_70	70	
8	80	L2_80	69	
8	80	L2_90	66	
8	90	L2_10	71	
8	90	L2_20	72	
8	90	L2_30	74	
8	90	L2_40	76	
8	90	L2_50	75	
8	90	L2_60	74	
8	90	L2_70	72	
8	90	L2_80	71	
8	90	L2_90	68	
8	100	L2_10	78	
8	100	L2_20	81	
8	100	L2_30	82	
8	100	L2_40	81	
8	100	L2_50	81	
8	100	L2_60	84	
8	100	L2_70	85	
8	100	L2_80	89	
8	100	L2_90	83	
9	10	L2_10	4	
9	10	L2_20	5	
9	10	L2_30	5	
9	10	L2_40	7	
9	10	L2_50	7	
9	10	L2_60	7	
9	10	L2_70	7	
9	10	L2_80	7	
9	10	L2_90	5	
9	20	L2_10	14	
9	20	L2_20	16	
9	20	L2_30	16	
9	20	L2_40	16	
9	20	L2_50	16	
9	20	L2_60	17	
9	20	L2_70	17	
9	20	L2_80	18	
9	20	L2_90	18	
9	30	L2_10	21	
9	30	L2_20	22	
9	30	L2_30	23	
9	30	L2_40	24	
9	30	L2_50	24	
9	30	L2_60	25	
9	30	L2_70	26	
9	30	L2_80	26	
9	30	L2_90	22	
9	40	L2_10	33	
9	40	L2_20	33	
9	40	L2_30	33	
9	40	L2_40	34	
9	40	L2_50	35	
9	40	L2_60	36	
9	40	L2_70	36	
9	40	L2_80	36	
9	40	L2_90	35	
9	50	L2_10	35	
9	50	L2_20	35	
9	50	L2_30	35	
9	50	L2_40	35	
9	50	L2_50	36	
9	50	L2_60	36	
9	50	L2_70	39	
9	50	L2_80	42	
9	50	L2_90	39	
