seed	V	N	B	n_invisible	
2	70	56	8	45	
2	70	70	8	44	
2	70	84	8	44	
2	70	98	8	44	
2	70	112	8	40	
2	70	126	8	40	
2	70	140	8	40	
2	80	0	11	69	
2	80	16	11	51	
2	80	32	11	49	
2	80	48	11	49	
2	80	64	11	47	
2	80	80	11	47	
2	80	96	11	45	
2	80	112	11	45	
2	80	128	11	45	
2	80	144	11	45	
2	80	160	11	45	
2	90	0	10	80	
2	90	18	10	59	
2	90	36	10	49	
2	90	54	10	47	
2	90	72	10	47	
2	90	90	10	47	
2	90	108	10	47	
2	90	126	10	47	
2	90	144	10	46	
2	90	162	10	46	
2	90	180	10	45	
2	100	0	14	86	
2	100	20	14	71	
2	100	40	14	68	
2	100	60	14	66	
2	100	80	14	62	
2	100	100	14	62	
2	100	120	14	59	
2	100	140	14	59	
2	100	160	14	59	
2	100	180	14	59	
2	100	200	14	59	
3	10	0	8	2	
3	10	2	8	2	
3	10	4	8	2	
3	10	6	8	2	
3	10	8	8	2	
3	10	10	8	2	
3	10	12	8	2	
3	10	14	8	2	
3	10	16	8	2	
3	10	18	8	2	
3	10	20	8	2	
3	20	0	10	10	
3	20	4	10	8	
3	20	8	10	8	
3	20	12	10	8	
3	20	16	10	8	
3	20	20	10	8	
3	20	24	10	8	
3	20	28	10	8	
3	20	32	10	8	
3	20	36	10	7	
3	20	40	10	7	
3	30	0	11	19	
3	30	6	11	19	
3	30	12	11	17	
3	30	18	11	17	
3	30	24	11	17	
3	30	30	11	17	
3	30	36	11	17	
3	30	42	11	17	
3	30	48	11	17	
3	30	54	11	17	
3	30	60	11	17	
3	40	0	9	31	
3	40	8	9	24	
3	40	16	9	21	
3	40	24	9	21	
3	40	32	9	21	
3	40	40	9	20	
3	40	48	9	20	
3	40	56	9	20	
3	40	64	9	19	
3	40	72	9	19	
3	40	80	9	18	
3	50	0	10	40	
3	50	10	10	29	
3	50	20	10	28	
3	50	30	10	27	
3	50	40	10	26	
3	50	50	10	25	
3	50	60	10	25	
3	50	70	10	25	
3	50	80	10	25	
3	50	90	10	25	
3	50	100	10	25	
3	60	0	12	48	
3	60	12	12	43	
3	60	24	12	39	
3	60	36	12	36	
3	60	48	12	35	
3	60	60	12	35	
3	60	72	12	34	
3	60	84	12	32	
3	60	96	12	32	
3	60	108	12	32	
3	60	120	12	32	
3	70	0	11	59	
3	70	14	11	51	
3	70	28	11	45	
3	70	42	11	40	
3	70	56	11	37	
3	70	70	11	37	
3	70	84	11	36	
3	70	98	11	36	
3	70	112	11	36	
3	70	126	11	36	
3	70	140	11	34	
3	80	0	15	65	
3	80	16	15	52	
3	80	32	15	51	
3	80	48	15	49	
3	80	64	15	47	
3	80	80	15	47	
3	80	96	15	46	
3	80	112	15	46	
3	80	128	15	46	
3	80	144	15	46	
3	80	160	15	46	
3	90	0	15	75	
3	90	18	15	58	
3	90	36	15	54	
3	90	54	15	53	
3	90	72	15	52	
3	90	90	15	50	
3	90	108	15	49	
3	90	126	15	49	
3	90	144	15	48	
3	90	162	15	47	
3	90	180	15	47	
3	100	0	12	88	
3	100	20	12	68	
3	100	40	12	59	
3	100	60	12	59	
3	100	80	12	57	
3	100	100	12	57	
3	100	120	12	56	
3	100	140	12	56	
3	100	160	12	55	
3	100	180	12	55	
3	100	200	12	54	
4	10	0	5	5	
4	10	2	5	4	
4	10	4	5	4	
4	10	6	5	4	
4	10	8	5	4	
4	10	10	5	3	
4	10	12	5	3	
4	10	14	5	3	
4	10	16	5	3	
4	10	18	5	3	
4	10	20	5	3	
4	20	0	8	12	
4	20	4	8	8	
4	20	8	8	7	
4	20	12	8	7	
4	20	16	8	7	
4	20	20	8	7	
4	20	24	8	7	
4	20	28	8	7	
4	20	32	8	7	
4	20	36	8	7	
4	20	40	8	7	
4	30	0	11	19	
4	30	6	11	13	
4	30	12	11	13	
4	30	18	11	13	
4	30	24	11	13	
4	30	30	11	13	
4	30	36	11	12	
4	30	42	11	12	
4	30	48	11	12	
4	30	54	11	12	
4	30	60	11	12	
4	40	0	10	30	
4	40	8	10	23	
4	40	16	10	22	
4	40	24	10	20	
4	40	32	10	18	
4	40	40	10	18	
4	40	48	10	18	
4	40	56	10	18	
4	40	64	10	18	
4	40	72	10	18	
4	40	80	10	18	
4	50	0	13	37	
4	50	10	13	31	
4	50	20	13	28	
4	50	30	13	25	
4	50	40	13	25	
4	50	50	13	25	
4	50	60	13	25	
4	50	70	13	25	
4	50	80	13	24	
4	50	90	13	24	
4	50	100	13	23	
4	60	0	12	48	
4	60	12	12	36	
4	60	24	12	34	
4	60	36	12	34	
4	60	48	12	33	
4	60	60	12	32	
4	60	72	12	32	
4	60	84	12	32	
4	60	96	12	29	
4	60	108	12	29	
4	60	120	12	29	
4	70	0	12	58	
4	70	14	12	48	
4	70	28	12	43	
4	70	42	12	42	
4	70	56	12	42	
4	70	70	12	42	
4	70	84	12	40	
4	70	98	12	40	
4	70	112	12	40	
4	70	126	12	40	
4	70	140	12	40	
4	80	0	11	69	
4	80	16	11	57	
4	80	32	11	55	
4	80	48	11	51	
4	80	64	11	51	
4	80	80	11	51	
4	80	96	11	51	
4	80	112	11	49	
4	80	128	11	49	
4	80	144	11	49	
4	80	160	11	49	
4	90	0	15	75	
4	90	18	15	62	
4	90	36	15	59	
4	90	54	15	54	
4	90	72	15	54	
4	90	90	15	53	
4	90	108	15	51	
4	90	126	15	49	
4	90	144	15	49	
4	90	162	15	47	
4	90	180	15	47	
4	100	0	14	86	
4	100	20	14	68	
4	100	40	14	66	
4	100	60	14	66	
4	100	80	14	62	
4	100	100	14	60	
4	100	120	14	59	
4	100	140	14	59	
4	100	160	14	59	
4	100	180	14	59	
4	100	200	14	59	
5	10	0	6	4	
5	10	2	6	4	
5	10	4	6	4	
5	10	6	6	4	
5	10	8	6	4	
5	10	10	6	4	
5	10	12	6	4	
5	10	14	6	4	
5	10	16	6	4	
5	10	18	6	4	
5	10	20	6	3	
5	20	0	9	11	
5	20	4	9	8	
5	20	8	9	7	
5	20	12	9	6	
5	20	16	9	6	
5	20	20	9	6	
5	20	24	9	6	
5	20	28	9	6	
5	20	32	9	6	
5	20	36	9	6	
5	20	40	9	6	
5	30	0	7	23	
5	30	6	7	15	
5	30	12	7	14	
5	30	18	7	12	
5	30	24	7	11	
5	30	30	7	11	
5	30	36	7	11	
5	30	42	7	11	
5	30	48	7	11	
5	30	54	7	11	
5	30	60	7	11	
5	40	0	10	30	
5	40	8	10	20	
5	40	16	10	20	
5	40	24	10	20	
5	40	32	10	19	
5	40	40	10	19	
5	40	48	10	18	
5	40	56	10	18	
5	40	64	10	18	
5	40	72	10	18	
5	40	80	10	18	
5	50	0	9	41	
5	50	10	9	32	
5	50	20	9	30	
5	50	30	9	26	
5	50	40	9	26	
5	50	50	9	26	
5	50	60	9	25	
5	50	70	9	25	
5	50	80	9	25	
5	50	90	9	25	
5	50	100	9	24	
5	60	0	10	50	
5	60	12	10	40	
5	60	24	10	37	
5	60	36	10	37	
5	60	48	10	37	
5	60	60	10	36	
5	60	72	10	36	
5	60	84	10	36	
5	60	96	10	36	
5	60	108	10	36	
5	60	120	10	34	
5	70	0	16	54	
5	70	14	16	45	
5	70	28	16	41	
5	70	42	16	40	
5	70	56	16	40	
5	70	70	16	40	
5	70	84	16	40	
5	70	98	16	40	
5	70	112	16	40	
5	70	126	16	40	
5	70	140	16	39	
5	80	0	16	64	
5	80	16	16	53	
5	80	32	16	49	
5	80	48	16	48	
5	80	64	16	46	
5	80	80	16	46	
5	80	96	16	46	
5	80	112	16	46	
5	80	128	16	46	
5	80	144	16	46	
5	80	160	16	45	
5	90	0	10	80	
5	90	18	10	67	
5	90	36	10	62	
5	90	54	10	60	
5	90	72	10	59	
5	90	90	10	53	
5	90	108	10	53	
5	90	126	10	50	
5	90	144	10	50	
5	90	162	10	50	
5	90	180	10	50	
5	100	0	10	90	
5	100	20	10	71	
5	100	40	10	61	
5	100	60	10	58	
5	100	80	10	57	
5	100	100	10	57	
5	100	120	10	55	
5	100	140	10	55	
5	100	160	10	53	
5	100	180	10	53	
5	100	200	10	52	
6	10	0	6	4	
6	10	2	6	3	
6	10	4	6	3	
6	10	6	6	3	
6	10	8	6	3	
6	10	10	6	3	
6	10	12	6	3	
6	10	14	6	3	
6	10	16	6	3	
6	10	18	6	3	
6	10	20	6	3	
6	20	0	10	10	
6	20	4	10	9	
6	20	8	10	7	
6	20	12	10	7	
6	20	16	10	7	
6	20	20	10	7	
6	20	24	10	7	
6	20	28	10	7	
6	20	32	10	7	
6	20	36	10	7	
6	20	40	10	7	
6	30	0	9	21	
6	30	6	9	19	
6	30	12	9	18	
6	30	18	9	17	
6	30	24	9	16	
6	30	30	9	15	
6	30	36	9	15	
6	30	42	9	15	
6	30	48	9	15	
6	30	54	9	15	
6	30	60	9	15	
6	40	0	12	28	
6	40	8	12	20	
6	40	16	12	20	
6	40	24	12	19	
6	40	32	12	19	
6	40	40	12	19	
6	40	48	12	18	
6	40	56	12	18	
6	40	64	12	18	
6	40	72	12	18	
6	40	80	12	17	
6	50	0	11	39	
6	50	10	11	31	
6	50	20	11	29	
6	50	30	11	27	
6	50	40	11	26	
6	50	50	11	26	
6	50	60	11	26	
6	50	70	11	26	
6	50	80	11	26	
6	50	90	11	26	
6	50	100	11	26	
6	60	0	13	47	
6	60	12	13	35	
6	60	24	13	32	
6	60	36	13	32	
6	60	48	13	32	
6	60	60	13	31	
6	60	72	13	31	
6	60	84	13	30	
6	60	96	13	30	
6	60	108	13	30	
6	60	120	13	30	
6	70	0	11	59	
6	70	14	11	45	
6	70	28	11	42	
6	70	42	11	41	
6	70	56	11	40	
6	70	70	11	40	
6	70	84	11	40	
6	70	98	11	39	
6	70	112	11	38	
6	70	126	11	35	
6	70	140	11	34	
6	80	0	14	66	
6	80	16	14	52	
6	80	32	14	46	
6	80	48	14	44	
6	80	64	14	43	
6	80	80	14	40	
6	80	96	14	40	
6	80	112	14	40	
6	80	128	14	40	
6	80	144	14	40	
6	80	160	14	39	
6	90	0	13	77	
6	90	18	13	60	
6	90	36	13	59	
6	90	54	13	59	
6	90	72	13	57	
6	90	90	13	55	
6	90	108	13	52	
6	90	126	13	53	
6	90	144	13	52	
6	90	162	13	51	
6	90	180	13	50	
6	100	0	14	86	
6	100	20	14	70	
6	100	40	14	68	
6	100	60	14	63	
6	100	80	14	63	
6	100	100	14	62	
6	100	120	14	61	
6	100	140	14	61	
6	100	160	14	56	
6	100	180	14	55	
6	100	200	14	55	
7	10	0	5	5	
7	10	2	5	4	
7	10	4	5	4	
7	10	6	5	4	
7	10	8	5	4	
7	10	10	5	4	
7	10	12	5	4	
7	10	14	5	3	
7	10	16	5	3	
7	10	18	5	3	
7	10	20	5	3	
7	20	0	8	12	
7	20	4	8	9	
7	20	8	8	9	
7	20	12	8	9	
7	20	16	8	9	
7	20	20	8	9	
7	20	24	8	9	
7	20	28	8	9	
7	20	32	8	9	
7	20	36	8	9	
7	20	40	8	9	
7	30	0	11	19	
7	30	6	11	13	
7	30	12	11	12	
7	30	18	11	12	
7	30	24	11	12	
7	30	30	11	12	
7	30	36	11	12	
7	30	42	11	11	
7	30	48	11	11	
7	30	54	11	11	
7	30	60	11	11	
7	40	0	10	30	
7	40	8	10	23	
7	40	16	10	22	
7	40	24	10	21	
7	40	32	10	21	
7	40	40	10	20	
7	40	48	10	20	
7	40	56	10	20	
7	40	64	10	20	
7	40	72	10	20	
7	40	80	10	19	
7	50	0	11	39	
7	50	10	11	32	
7	50	20	11	31	
7	50	30	11	30	
7	50	40	11	30	
7	50	50	11	30	
7	50	60	11	29	
7	50	70	11	28	
7	50	80	11	27	
7	50	90	11	27	
7	50	100	11	27	
7	60	0	11	49	
7	60	12	11	42	
7	60	24	11	39	
7	60	36	11	38	
7	60	48	11	36	
7	60	60	11	35	
7	60	72	11	34	
7	60	84	11	33	
7	60	96	11	33	
7	60	108	11	31	
7	60	120	11	31	
7	70	0	13	57	
7	70	14	13	49	
7	70	28	13	44	
7	70	42	13	44	
7	70	56	13	40	
7	70	70	13	39	
7	70	84	13	39	
7	70	98	13	36	
7	70	112	13	36	
7	70	126	13	36	
7	70	140	13	36	
7	80	0	11	69	
7	80	16	11	54	
7	80	32	11	52	
7	80	48	11	49	
7	80	64	11	49	
7	80	80	11	47	
7	80	96	11	44	
7	80	112	11	44	
7	80	128	11	44	
7	80	144	11	42	
7	80	160	11	42	
7	90	0	10	80	
7	90	18	10	67	
7	90	36	10	65	
7	90	54	10	64	
7	90	72	10	61	
7	90	90	10	60	
7	90	108	10	60	
7	90	126	10	58	
7	90	144	10	58	
7	90	162	10	57	
7	90	180	10	57	
7	100	0	13	87	
7	100	20	13	69	
7	100	40	13	67	
7	100	60	13	63	
7	100	80	13	60	
7	100	100	13	60	
7	100	120	13	54	
7	100	140	13	53	
7	100	160	13	52	
7	100	180	13	52	
7	100	200	13	52	
8	10	0	5	5	
8	10	2	5	5	
8	10	4	5	4	
8	10	6	5	4	
8	10	8	5	4	
8	10	10	5	4	
8	10	12	5	4	
8	10	14	5	4	
8	10	16	5	4	
8	10	18	5	4	
8	10	20	5	4	
8	20	0	8	12	
8	20	4	8	10	
8	20	8	8	10	
8	20	12	8	10	
8	20	16	8	10	
8	20	20	8	10	
8	20	24	8	10	
8	20	28	8	10	
8	20	32	8	10	
8	20	36	8	10	
8	20	40	8	10	
8	30	0	7	23	
8	30	6	7	22	
8	30	12	7	19	
8	30	18	7	19	
8	30	24	7	18	
8	30	30	7	18	
8	30	36	7	16	
8	30	42	7	16	
8	30	48	7	16	
8	30	54	7	16	
8	30	60	7	16	
8	40	0	11	29	
8	40	8	11	27	
8	40	16	11	23	
8	40	24	11	22	
8	40	32	11	22	
8	40	40	11	22	
8	40	48	11	22	
8	40	56	11	22	
8	40	64	11	22	
8	40	72	11	22	
8	40	80	11	22	
8	50	0	12	38	
8	50	10	12	30	
8	50	20	12	27	
8	50	30	12	27	
8	50	40	12	27	
8	50	50	12	26	
8	50	60	12	26	
8	50	70	12	26	
8	50	80	12	26	
8	50	90	12	25	
8	50	100	12	25	
8	60	0	11	49	
8	60	12	11	41	
8	60	24	11	40	
8	60	36	11	38	
8	60	48	11	37	
8	60	60	11	34	
8	60	72	11	33	
8	60	84	11	34	
8	60	96	11	34	
8	60	108	11	34	
8	60	120	11	33	
8	70	0	12	58	
8	70	14	12	42	
8	70	28	12	41	
8	70	42	12	40	
8	70	56	12	38	
8	70	70	12	38	
8	70	84	12	36	
8	70	98	12	36	
8	70	112	12	36	
8	70	126	12	36	
8	70	140	12	35	
8	80	0	14	66	
8	80	16	14	52	
8	80	32	14	48	
8	80	48	14	45	
8	80	64	14	44	
8	80	80	14	43	
8	80	96	14	42	
8	80	112	14	41	
8	80	128	14	40	
8	80	144	14	40	
8	80	160	14	40	
8	90	0	18	72	
8	90	18	18	60	
8	90	36	18	58	
8	90	54	18	57	
8	90	72	18	53	
8	90	90	18	53	
8	90	108	18	52	
8	90	126	18	52	
8	90	144	18	51	
8	90	162	18	50	
8	90	180	18	49	
8	100	0	14	86	
8	100	20	14	75	
8	100	40	14	71	
8	100	60	14	62	
8	100	80	14	62	
8	100	100	14	57	
8	100	120	14	57	
8	100	140	14	56	
8	100	160	14	55	
8	100	180	14	52	
8	100	200	14	52	
9	10	0	7	3	
9	10	2	7	2	
9	10	4	7	2	
9	10	6	7	2	
9	10	8	7	2	
9	10	10	7	2	
9	10	12	7	2	
9	10	14	7	2	
9	10	16	7	2	
9	10	18	7	2	
9	10	20	7	2	
9	20	0	10	10	
9	20	4	10	9	
9	20	8	10	8	
9	20	12	10	8	
9	20	16	10	8	
9	20	20	10	8	
9	20	24	10	8	
9	20	28	10	8	
9	20	32	10	8	
9	20	36	10	8	
9	20	40	10	8	
9	30	0	9	21	
9	30	6	9	14	
9	30	12	9	13	
9	30	18	9	13	
9	30	24	9	13	
9	30	30	9	13	
9	30	36	9	13	
9	30	42	9	13	
9	30	48	9	13	
9	30	54	9	13	
9	30	60	9	13	
9	40	0	8	32	
9	40	8	8	22	
9	40	16	8	20	
9	40	24	8	20	
9	40	32	8	19	
9	40	40	8	19	
9	40	48	8	17	
9	40	56	8	17	
9	40	64	8	17	
9	40	72	8	17	
9	40	80	8	17	
9	50	0	11	39	
9	50	10	11	31	
9	50	20	11	31	
9	50	30	11	29	
9	50	40	11	28	
9	50	50	11	28	
9	50	60	11	28	
9	50	70	11	28	
9	50	80	11	28	
9	50	90	11	27	
9	50	100	11	27	
9	60	0	12	48	
9	60	12	12	41	
9	60	24	12	40	
9	60	36	12	36	
9	60	48	12	35	
9	60	60	12	33	
9	60	72	12	33	
9	60	84	12	32	
9	60	96	12	32	
9	60	108	12	32	
9	60	120	12	32	
9	70	0	13	57	
9	70	14	13	47	
9	70	28	13	45	
9	70	42	13	44	
9	70	56	13	41	
9	70	70	13	40	
9	70	84	13	39	
9	70	98	13	39	
9	70	112	13	39	
9	70	126	13	36	
9	70	140	13	36	
9	80	0	12	68	
9	80	16	12	60	
9	80	32	12	55	
9	80	48	12	52	
9	80	64	12	52	
9	80	80	12	50	
9	80	96	12	49	
9	80	112	12	46	
9	80	128	12	45	
9	80	144	12	45	
9	80	160	12	44	
9	90	0	14	76	
9	90	18	14	59	
9	90	36	14	56	
9	90	54	14	53	
9	90	72	14	51	
9	90	90	14	50	
9	90	108	14	50	
9	90	126	14	51	
9	90	144	14	51	
9	90	162	14	51	
9	90	180	14	51	
9	100	0	13	87	
9	100	20	13	78	
9	100	40	13	74	
9	100	60	13	72	
9	100	80	13	71	
9	100	100	13	67	
9	100	120	13	66	
9	100	140	13	62	
9	100	160	13	60	
9	100	180	13	59	
9	100	200	13	59	
10	10	0	7	3	
10	10	2	7	3	
10	10	4	7	2	
10	10	6	7	2	
10	10	8	7	2	
10	10	10	7	2	
10	10	12	7	2	
10	10	14	7	2	
10	10	16	7	2	
10	10	18	7	2	
10	10	20	7	2	
10	20	0	11	9	
10	20	4	11	9	
10	20	8	11	8	
10	20	12	11	8	
10	20	16	11	8	
10	20	20	11	8	
10	20	24	11	8	
10	20	28	11	8	
10	20	32	11	8	
10	20	36	11	8	
10	20	40	11	8	
10	30	0	10	20	
10	30	6	10	19	
10	30	12	10	18	
10	30	18	10	17	
10	30	24	10	17	
10	30	30	10	15	
10	30	36	10	15	
10	30	42	10	15	
10	30	48	10	15	
10	30	54	10	15	
10	30	60	10	15	
10	40	0	10	30	
10	40	8	10	25	
10	40	16	10	20	
10	40	24	10	19	
10	40	32	10	17	
10	40	40	10	17	
10	40	48	10	17	
10	40	56	10	17	
10	40	64	10	17	
10	40	72	10	17	
10	40	80	10	17	
10	50	0	12	38	
10	50	10	12	27	
10	50	20	12	26	
10	50	30	12	25	
10	50	40	12	25	
10	50	50	12	24	
10	50	60	12	24	
10	50	70	12	23	
10	50	80	12	23	
10	50	90	12	23	
10	50	100	12	23	
10	60	0	8	52	
10	60	12	8	40	
10	60	24	8	37	
10	60	36	8	37	
10	60	48	8	37	
10	60	60	8	37	
10	60	72	8	37	
10	60	84	8	36	
10	60	96	8	36	
10	60	108	8	35	
10	60	120	8	35	
10	70	0	10	60	
10	70	14	10	48	
10	70	28	10	45	
10	70	42	10	42	
10	70	56	10	41	
10	70	70	10	38	
10	70	84	10	37	
10	70	98	10	37	
10	70	112	10	37	
10	70	126	10	36	
10	70	140	10	35	
10	80	0	15	65	
10	80	16	15	52	
10	80	32	15	47	
10	80	48	15	45	
10	80	64	15	45	
10	80	80	15	42	
10	80	96	15	41	
10	80	112	15	40	
10	80	128	15	38	
10	80	144	15	38	
10	80	160	15	38	
10	90	0	13	77	
10	90	18	13	66	
10	90	36	13	60	
10	90	54	13	59	
10	90	72	13	57	
10	90	90	13	56	
10	90	108	13	55	
10	90	126	13	50	
10	90	144	13	50	
10	90	162	13	49	
10	90	180	13	49	
10	100	0	16	84	
10	100	20	16	74	
10	100	40	16	67	
10	100	60	16	64	
10	100	80	16	61	
10	100	100	16	58	
10	100	120	16	56	
10	100	140	16	55	
10	100	160	16	54	
10	100	180	16	53	
10	100	200	16	53	
11	10	0	6	4	
11	10	2	6	4	
11	10	4	6	4	
11	10	6	6	4	
11	10	8	6	4	
11	10	10	6	4	
11	10	12	6	4	
11	10	14	6	4	
11	10	16	6	4	
11	10	18	6	4	
11	10	20	6	4	
11	20	0	7	13	
11	20	4	7	9	
11	20	8	7	9	
11	20	12	7	9	
11	20	16	7	9	
11	20	20	7	9	
11	20	24	7	9	
11	20	28	7	9	
11	20	32	7	9	
11	20	36	7	9	
11	20	40	7	9	
11	30	0	12	18	
11	30	6	12	15	
11	30	12	12	15	
11	30	18	12	15	
11	30	24	12	15	
11	30	30	12	14	
11	30	36	12	14	
11	30	42	12	14	
11	30	48	12	14	
11	30	54	12	14	
11	30	60	12	14	
11	40	0	10	30	
11	40	8	10	22	
11	40	16	10	21	
11	40	24	10	21	
11	40	32	10	21	
11	40	40	10	20	
11	40	48	10	20	
11	40	56	10	20	
11	40	64	10	20	
11	40	72	10	20	
11	40	80	10	20	
11	50	0	10	40	
11	50	10	10	27	
11	50	20	10	25	
11	50	30	10	24	
11	50	40	10	24	
11	50	50	10	24	
11	50	60	10	23	
11	50	70	10	23	
11	50	80	10	23	
11	50	90	10	23	
11	50	100	10	23	
11	60	0	11	49	
11	60	12	11	35	
11	60	24	11	34	
11	60	36	11	32	
11	60	48	11	31	
11	60	60	11	30	
11	60	72	11	30	
11	60	84	11	30	
11	60	96	11	30	
11	60	108	11	30	
11	60	120	11	29	
11	70	0	13	57	
11	70	14	13	44	
11	70	28	13	43	
11	70	42	13	41	
11	70	56	13	41	
11	70	70	13	41	
11	70	84	13	41	
11	70	98	13	41	
11	70	112	13	41	
11	70	126	13	40	
11	70	140	13	39	
11	80	0	12	68	
11	80	16	12	54	
11	80	32	12	50	
11	80	48	12	48	
11	80	64	12	46	
11	80	80	12	45	
11	80	96	12	43	
11	80	112	12	42	
11	80	128	12	42	
11	80	144	12	42	
11	80	160	12	42	
11	90	0	13	77	
11	90	18	13	63	
11	90	36	13	60	
11	90	54	13	59	
11	90	72	13	56	
11	90	90	13	54	
11	90	108	13	54	
11	90	126	13	51	
11	90	144	13	51	
11	90	162	13	52	
11	90	180	13	51	
11	100	0	14	86	
11	100	20	14	71	
11	100	40	14	64	
11	100	60	14	60	
11	100	80	14	58	
11	100	100	14	56	
11	100	120	14	55	
11	100	140	14	54	
11	100	160	14	54	
11	100	180	14	54	
11	100	200	14	54	
12	10	0	6	4	
12	10	2	6	2	
12	10	4	6	2	
12	10	6	6	2	
12	10	8	6	2	
12	10	10	6	2	
12	10	12	6	2	
12	10	14	6	2	
12	10	16	6	2	
12	10	18	6	2	
12	10	20	6	2	
12	20	0	12	8	
12	20	4	12	6	
12	20	8	12	6	
12	20	12	12	6	
12	20	16	12	6	
12	20	20	12	6	
12	20	24	12	6	
12	20	28	12	6	
12	20	32	12	6	
12	20	36	12	6	
12	20	40	12	6	
12	30	0	9	21	
12	30	6	9	20	
12	30	12	9	19	
12	30	18	9	18	
12	30	24	9	17	
12	30	30	9	16	
12	30	36	9	15	
12	30	42	9	14	
12	30	48	9	14	
12	30	54	9	14	
12	30	60	9	14	
12	40	0	9	31	
12	40	8	9	25	
12	40	16	9	22	
12	40	24	9	20	
12	40	32	9	20	
12	40	40	9	20	
12	40	48	9	20	
12	40	56	9	20	
12	40	64	9	20	
12	40	72	9	20	
12	40	80	9	20	
12	50	0	10	40	
12	50	10	10	34	
12	50	20	10	30	
12	50	30	10	29	
12	50	40	10	27	
12	50	50	10	27	
12	50	60	10	27	
12	50	70	10	27	
12	50	80	10	26	
12	50	90	10	26	
12	50	100	10	26	
12	60	0	7	53	
12	60	12	7	43	
12	60	24	7	42	
12	60	36	7	41	
